"Common/ButtonExit","ZAVŘÍT"
"RecipeShip/Description/238",""
"RecipeShip/Description/1718",""
"RecipeShip/Description/982",""
"RecipeShip/Description/485",""
"RecipeShip/Description/307",""
"RecipeShip/Description/486",""
"RecipeShip/Description/1661",""
"RecipeShip/Description/746",""
"RecipeShip/Description/1553",""
"RecipeShip/Description/1719",""
"RecipeShip/Description/665",""
"RecipeShip/Description/983",""
"RecipeShip/Description/553",""
"RecipeShip/Description/487",""
"RecipeShip/Description/1558",""
"RecipeShip/Description/239",""
"RecipeShip/Description/314",""
"RecipeShip/Description/315",""
"RecipeShip/Description/316",""
"RecipeShip/Description/747",""
"RecipeShip/Description/1720",""
"RecipeShip/Description/308",""
"RecipeShip/Description/317",""
"RecipeShip/Description/309",""
"RecipeShip/Description/1559",""
"RecipeShip/Description/318",""
"RecipeShip/Description/397",""
"RecipeShip/Description/398",""
"RecipeShip/Description/319",""
"RecipeShip/Description/1721",""
"RecipeShip/Description/310",""
"RecipeShip/Description/320",""
"RecipeShip/Description/321",""
"RecipeShip/Description/323",""
"RecipeShip/Description/324",""
"RecipeShip/Description/325",""
"RecipeShip/Description/326",""
"RecipeShip/Description/311",""
"RecipeShip/Description/304",""
"RecipeShip/Description/1560",""
"Resource/Description/1341",""
"Resource/Description/1342",""
"Resource/Description/906",""
"Resource/Description/1343",""
"Resource/Description/1344",""
"Resource/Description/1345",""
"Resource/Description/1346",""
"Resource/Description/24",""
"Resource/Description/25",""
"Resource/Description/364",""
"Resource/Description/888",""
"Resource/Description/1347",""
"Resource/Description/1348",""
"Resource/Description/878",""
"Resource/Description/949",""
"Resource/Description/26",""
"Resource/Description/620",""
"Resource/Description/1349",""
"Resource/Description/27",""
"Resource/Description/1440",""
"Resource/Description/1350",""
"Resource/Description/1351",""
"Resource/Description/28",""
"Resource/Description/924",""
"Resource/Description/889",""
"Resource/Description/890",""
"Resource/Description/891",""
"Resource/Description/892",""
"Resource/Description/950",""
"Resource/Description/893",""
"Resource/Description/29",""
"Resource/Description/30",""
"Resource/Description/300",""
"Resource/Description/1352",""
"Resource/Description/894",""
"Resource/Description/1353",""
"Resource/Description/31",""
"Resource/Description/797",""
"Resource/Description/798",""
"Resource/Description/799",""
"Resource/Description/800",""
"Resource/Description/801",""
"Resource/Description/802",""
"Resource/Description/803",""
"Resource/Description/804",""
"Resource/Description/805",""
"Resource/Description/806",""
"Resource/Description/807",""
"Resource/Description/808",""
"Resource/Description/809",""
"Resource/Description/810",""
"Resource/Description/811",""
"Resource/Description/812",""
"Resource/Description/34",""
"Resource/Description/35",""
"Resource/Description/36",""
"Resource/Description/421",""
"Resource/Description/422",""
"Resource/Description/851",""
"Resource/Description/853",""
"Resource/Description/854",""
"Resource/Description/855",""
"Resource/Description/856",""
"Resource/Description/857",""
"Resource/Description/858",""
"Resource/Description/859",""
"Resource/Description/860",""
"Resource/Description/861",""
"Resource/Description/862",""
"Resource/Description/863",""
"Resource/Description/864",""
"Resource/Description/865",""
"Resource/Description/866",""
"Resource/Description/867",""
"Resource/Description/868",""
"Resource/Description/869",""
"Resource/Description/870",""
"Resource/Description/813",""
"Resource/Description/33",""
"Resource/Description/814",""
"Resource/Description/815",""
"Resource/Description/816",""
"Resource/Description/817",""
"Resource/Description/819",""
"Resource/Description/820",""
"Resource/Description/821",""
"Resource/Description/822",""
"Resource/Description/823",""
"Resource/Description/824",""
"Resource/Description/825",""
"Resource/Description/826",""
"Resource/Description/827",""
"Resource/Description/828",""
"Resource/Description/829",""
"Resource/Description/830",""
"Resource/Description/831",""
"Resource/Description/834",""
"Resource/Description/844",""
"Resource/Description/845",""
"Resource/Description/846",""
"Resource/Description/847",""
"Resource/Description/789",""
"Resource/Description/790",""
"Resource/Description/791",""
"Resource/Description/792",""
"Resource/Description/793",""
"Resource/Description/794",""
"Resource/Description/795",""
"Resource/Description/796",""
"Resource/Description/832",""
"Resource/Description/833",""
"Resource/Description/818",""
"Resource/Description/835",""
"Resource/Description/37",""
"Resource/Description/836",""
"Resource/Description/837",""
"Resource/Description/38",""
"Resource/Description/32",""
"Resource/Description/838",""
"Resource/Description/839",""
"Resource/Description/840",""
"Resource/Description/841",""
"Resource/Description/842",""
"Resource/Description/843",""
"Resource/Description/39",""
"Resource/Description/40",""
"Resource/Description/1354",""
"Resource/Description/41",""
"Resource/Description/1355",""
"Resource/Description/365",""
"Resource/Description/1356",""
"Resource/Description/621",""
"Resource/Description/42",""
"Resource/Description/1357",""
"Resource/Description/43",""
"Resource/Description/606",""
"Resource/Description/558",""
"Resource/Description/1358",""
"Resource/Description/44",""
"Resource/Description/607",""
"Resource/Description/1359",""
"Ship/Description/694",""
"Ship/Description/264",""
"Ship/Description/265",""
"Ship/Description/359",""
"Ship/Description/266",""
"Ship/Description/267",""
"Ship/Description/268",""
"Ship/Description/269",""
"Ship/Description/1664",""
"Ship/Description/270",""
"Ship/Description/1674",""
"Ship/Description/271",""
"Ship/Description/413",""
"Ship/Description/1665",""
"Ship/Description/768",""
"Ship/Description/272",""
"Ship/Description/273",""
"Ship/Description/396",""
"Ship/Description/1561",""
"Ship/Description/695",""
"Ship/Description/970",""
"Ship/Description/1675",""
"Ship/Description/592",""
"Ship/Description/787",""
"Ship/Description/425",""
"Ship/Description/395",""
"Ship/Description/986",""
"Ship/Description/274",""
"Ship/Description/275",""
"Ship/Description/276",""
"Ship/Description/277",""
"Ship/Description/278",""
"Ship/Description/650",""
"Ship/Description/1020",""
"Ship/Description/279",""
"Ship/Description/280",""
"Ship/Description/281",""
"Ship/Description/1125",""
"Ship/Description/282",""
"Ship/Description/283",""
"Ship/Description/284",""
"Ship/Description/285",""
"Ship/Description/1676",""
"Ship/Description/1535",""
"Ship/Description/1536",""
"Ship/Description/286",""
"Ship/Description/287",""
"Ship/Description/288",""
"Ship/Description/289",""
"Ship/Description/290",""
"Ship/Description/291",""
"Ship/Description/292",""
"Ship/Description/293",""
"Ship/Description/294",""
"Ship/Description/1021",""
"Ship/Description/295",""
"Ship/Description/393",""
"ShipSkinItem/Description/749",""
"ShipSkinItem/Description/769",""
"ShipSkinItem/Description/750",""
"ShipSkinItem/Description/770",""
"ShipSkinItem/Description/919",""
"ShipSkinItem/Description/700",""
"ShipSkinItem/Description/701",""
"ShipSkinItem/Description/702",""
"ShipSkinItem/Description/703",""
"ShipSkinItem/Description/933",""
"ShipSkinItem/Description/704",""
"ShipSkinItem/Description/934",""
"ShipSkinItem/Description/705",""
"ShipSkinItem/Description/771",""
"ShipSkinItem/Description/706",""
"ShipSkinItem/Description/707",""
"ShipSkinItem/Description/708",""
"ShipSkinItem/Description/709",""
"ShipSkinItem/Description/772",""
"ShipSkinItem/Description/773",""
"ShipSkinItem/Description/711",""
"ShipSkinItem/Description/712",""
"ShipSkinItem/Description/751",""
"ShipSkinItem/Description/713",""
"ShipSkinItem/Description/682",""
"ShipSkinItem/Description/684",""
"ShipSkinItem/Description/685",""
"ShipSkinItem/Description/714",""
"ShipSkinItem/Description/715",""
"ShipSkinItem/Description/716",""
"ShipSkinItem/Description/774",""
"ShipSkinItem/Description/911",""
"ShipSkinItem/Description/912",""
"ShipSkinItem/Description/913",""
"ShipSkinItem/Description/914",""
"ShipSkinItem/Description/915",""
"ShipSkinItem/Description/1668",""
"ShipSkinItem/Description/916",""
"ShipSkinItem/Description/917",""
"ShipSkinItem/Description/918",""
"ShipSkinItem/Description/717",""
"ShipSkinItem/Description/718",""
"ShipSkinItem/Description/719",""
"ShipSkinItem/Description/720",""
"ShipSkinItem/Description/721",""
"ShipSkinItem/Description/775",""
"ShipSkinItem/Description/752",""
"ShipSkinItem/Description/753",""
"ShipSkinItem/Description/754",""
"ShipSkinItem/Description/755",""
"ShipSkinItem/Description/756",""
"ShipSkinItem/Description/776",""
"ShipSkinItem/Description/935",""
"ShipSkinItem/Description/936",""
"ShipSkinItem/Description/777",""
"ShipSkinItem/Description/778",""
"ShipSkinItem/Description/779",""
"ShipSkinItem/Description/780",""
"ShipSkinItem/Description/757",""
"ShipSkinItem/Description/781",""
"ShipSkinItem/Description/937",""
"ShipSkinItem/Description/938",""
"ShipSkinItem/Description/688",""
"ShipSkinItem/Description/689",""
"ShipSkinItem/Description/927",""
"ShipSkinItem/Description/758",""
"ShipSkinItem/Description/759",""
"ShipSkinItem/Description/928",""
"ShipSkinItem/Description/929",""
"ShipSkinItem/Description/760",""
"ShipSkinItem/Description/761",""
"ShipSkinItem/Description/690",""
"ShipSkinItem/Description/722",""
"ShipSkinItem/Description/678",""
"ShipSkinItem/Description/782",""
"ShipSkinItem/Description/872",""
"ShipSkinItem/Description/871",""
"ShipSkinItem/Description/783",""
"ShipSkinItem/Description/873",""
"ShipSkinItem/Description/723",""
"ShipSkinItem/Description/724",""
"ShipSkinItem/Description/725",""
"ShipSkinItem/Description/726",""
"ShipSkinItem/Description/727",""
"ShipSkinItem/Description/728",""
"ShipSkinItem/Description/729",""
"ShipSkinItem/Description/730",""
"ShipSkinItem/Description/731",""
"ShipSkinItem/Description/784",""
"ShipSkinItem/Description/939",""
"ShipSkinItem/Description/762",""
"ShipSkinItem/Description/763",""
"ShipSkinItem/Description/764",""
"ShipSkinItem/Description/765",""
"ShipSkinItem/Description/766",""
"ShipSkinItem/Description/785",""
"ShipSkinItem/Description/732",""
"ShipSkinItem/Description/733",""
"ShipSkinItem/Description/734",""
"ShipSkinItem/Description/735",""
"ShipSkinItem/Description/736",""
"ShipSkinItem/Description/786",""
"ShipSkinItem/Description/737",""
"ShipSkinItem/Description/738",""
"ShipSkinItem/Description/739",""
"ShipSkinItem/Description/740",""
"ShipSkinItem/Description/741",""
"ShipSkinItem/Description/743",""
"ShipConvertibleItem/Description/975","This Item gives you Agamemnon ship"
"ShipConvertibleItem/Description/1669","This Item gives you Belle Poule ship"
"ShipConvertibleItem/Description/1631","This Item gives you Bellona ship"
"ShipConvertibleItem/Description/1528","This Item gives you 3rd Rate ship"
"ShipConvertibleItem/Description/1632","This Item gives you Bucentaure ship"
"ShipConvertibleItem/Description/1529","This Item gives you USS Constitution ship"
"ShipConvertibleItem/Description/767","This Item gives you GunBoat ship"
"ShipConvertibleItem/Description/976","This Item gives you Endymion ship"
"ShipConvertibleItem/Description/993","This Item gives you Pandora ship"
